family,variant,feature_set,params,val_mae,val_rmse,val_r2,test_mae,test_rmse,test_r2
random_forest,rf_depth_None_leaf_1,engineered_tabular,"{""max_depth"": null, ""min_samples_leaf"": 1, ""n_estimators"": 180}",0.07514477685359092,1.4847868536226523,0.9997398162261821,0.06480320036967477,1.1889001812696327,0.9998296789505621
random_forest,rf_depth_20_leaf_1,engineered_tabular,"{""max_depth"": 20, ""min_samples_leaf"": 1, ""n_estimators"": 180}",0.0751682386538672,1.4847588512889642,0.99973982603996,0.0648054052509714,1.1887069216231385,0.9998297343185585
extra_trees,et_depth_30_leaf_1,engineered_tabular,"{""max_depth"": 30, ""min_samples_leaf"": 1, ""n_estimators"": 220}",0.08879556686095703,1.5673402189468701,0.9997100797587677,0.08327253825353863,1.6838135200374122,0.9996583625099892
extra_trees,et_depth_None_leaf_1,engineered_tabular,"{""max_depth"": null, ""min_samples_leaf"": 1, ""n_estimators"": 220}",0.08909234212259413,1.5758138980805245,0.9997069364309762,0.08348827353220951,1.6882003049511767,0.999656580076942
random_forest,rf_depth_20_leaf_3,engineered_tabular,"{""max_depth"": 20, ""min_samples_leaf"": 3, ""n_estimators"": 180}",0.09264716183067168,1.8865823256567202,0.999579947567279,0.07804431865584685,1.5443590383876495,0.9997126083894983
random_forest,rf_depth_None_leaf_3,engineered_tabular,"{""max_depth"": null, ""min_samples_leaf"": 3, ""n_estimators"": 180}",0.09264716183067168,1.8865823256567202,0.999579947567279,0.07804431865584685,1.5443590383876495,0.9997126083894983
extra_trees,et_depth_30_leaf_3,engineered_tabular,"{""max_depth"": 30, ""min_samples_leaf"": 3, ""n_estimators"": 220}",0.2082453241116514,2.2719438308583584,0.9993908178608415,0.20013794895897838,2.11397149214143,0.9994615122965015
extra_trees,et_depth_None_leaf_3,engineered_tabular,"{""max_depth"": null, ""min_samples_leaf"": 3, ""n_estimators"": 220}",0.20865564792577543,2.2848706681884465,0.9993838659272549,0.19994894199981647,2.1205030590656944,0.9994581796101256
gradient_boosting,gbr_lr_0.05_depth_5,engineered_tabular,"{""learning_rate"": 0.05, ""max_depth"": 5, ""n_estimators"": 220}",0.4536755905942342,1.09734830878948,0.9998578846533792,0.4448774394345847,1.0657527910084046,0.9998631356008564
gradient_boosting,gbr_lr_0.1_depth_5,engineered_tabular,"{""learning_rate"": 0.1, ""max_depth"": 5, ""n_estimators"": 220}",0.4694837887247071,1.0655210751849413,0.9998660088638546,0.4590773120626778,1.0230853878167792,0.9998738749644539
